user_id,skills,education,experience_years,current_role,recommended_career_1,confidence_score_1,match_reason_1,required_skills_1,missing_skills_1,skill_gap_1,recommended_career_2,confidence_score_2,recommended_career_3,confidence_score_3,strengths,weaknesses,recommendations
user_001,"JavaScript,React,Node.js,MongoDB,HTML,CSS",Bachelor in Computer Science,2,Frontend Developer,Full Stack Developer,0.92,"Strong frontend skills with backend experience in Node.js and MongoDB","JavaScript,React,Node.js,MongoDB","PostgreSQL,Docker",0.15,Frontend Developer,0.88,React Developer,0.85,"Modern JavaScript,React Ecosystem,Full-stack Capability","Database Design,DevOps Practices,Testing Frameworks","Learn PostgreSQL for advanced database management,Gain experience with Docker and containerization,Master testing frameworks like Jest and Cypress"
user_002,"Python,Machine Learning,TensorFlow,Pandas,SQL,Statistics",Master in Data Science,5,Data Analyst,Data Scientist,0.95,"Strong ML background with statistical analysis skills","Python,Machine Learning,Statistics,SQL","Deep Learning,MLOps",0.2,Machine Learning Engineer,0.88,Senior Data Analyst,0.82,"Statistical Analysis,ML Algorithms,Data Processing","Production ML Systems,Cloud Deployment,Model Monitoring","Learn MLOps practices for production ML systems,Gain experience with cloud platforms (AWS SageMaker, GCP AI Platform),Master deep learning frameworks like PyTorch"
user_003,"Java,Spring Boot,MySQL,Docker,AWS",Bachelor in Information Systems,0,Student,Backend Developer,0.9,"Strong Java and Spring Boot skills with database knowledge","Java,Spring Boot,MySQL","REST API Design,Microservices",0.3,Java Developer,0.85,Cloud Developer,0.75,"Java Ecosystem,Database Management,Cloud Basics","Production Experience,System Design,Testing","Build projects with REST API design patterns,Learn microservices architecture,Gain experience with testing frameworks (JUnit, Mockito)"
user_004,"Figma,Adobe XD,UI/UX Design,Prototyping,User Research,Design Systems",Bachelor in Design,7,UI Designer,UX Designer,0.93,"Strong design background with user research experience","UI/UX Design,User Research,Prototyping","UX Writing,Accessibility",0.15,Product Designer,0.88,Design Lead,0.85,"Visual Design,User Research,Design Systems","UX Writing,Accessibility Standards,Product Metrics","Learn accessibility standards (WCAG),Gain experience with UX writing and content strategy,Understand product metrics and data-driven design"
user_005,"Python,Django,PostgreSQL,Redis,Kubernetes,CI/CD",Bachelor in Computer Engineering,3,Backend Developer,DevOps Engineer,0.91,"Strong infrastructure skills with CI/CD experience","Kubernetes,CI/CD,PostgreSQL,Redis","Terraform,Monitoring Tools",0.2,Site Reliability Engineer,0.87,Backend Developer,0.85,"Infrastructure,CI/CD,Database Management","Infrastructure as Code,Monitoring,Cloud Platforms","Learn Infrastructure as Code (Terraform, CloudFormation),Master monitoring tools (Prometheus, Grafana),Gain AWS/GCP certification"
user_006,"C#,.NET Core,Azure,SQL Server,Entity Framework",Master in Software Engineering,6,Software Engineer,Cloud Solutions Architect,0.89,"Strong .NET and Azure cloud experience","Azure,Cloud Architecture,.NET Core","Azure DevOps,Microservices",0.25,Senior .NET Developer,0.86,Azure Developer,0.83,"Microsoft Stack,Cloud Services,Enterprise Development","Microservices Design,Container Orchestration,Cost Optimization","Learn Azure architecture patterns and best practices,Master microservices with Azure Service Fabric,Gain Azure Solutions Architect certification"
user_007,"Ruby,Rails,PostgreSQL,Heroku,Git",Bachelor in Computer Science,4,Backend Developer,Full Stack Developer,0.87,"Solid backend with Ruby on Rails expertise","Ruby,Rails,PostgreSQL,JavaScript","React,TypeScript",0.3,Ruby Developer,0.84,Web Developer,0.8,"Ruby on Rails,Database Design,MVC Architecture","Frontend Frameworks,Modern JavaScript,UI Development","Learn React or Vue.js for frontend development,Master TypeScript for type-safe JavaScript,Build full-stack projects with modern frontend frameworks"
user_008,"Tableau,Power BI,SQL,Excel,Data Visualization,Python",Bachelor in Business Analytics,3,Business Analyst,Data Analyst,0.94,"Strong analytics and visualization skills","SQL,Data Visualization,Python,Statistics","Machine Learning,Advanced Analytics",0.25,Business Intelligence Developer,0.89,Analytics Consultant,0.85,"Data Visualization,Business Intelligence,SQL Queries","Predictive Analytics,Statistical Modeling,Programming","Learn Python for data science (Pandas, NumPy),Study statistical modeling and hypothesis testing,Gain experience with predictive analytics and forecasting"
user_009,"Swift,iOS Development,UIKit,SwiftUI,Firebase,Git",Bachelor in Computer Science,2,iOS Developer,Senior iOS Developer,0.92,"Strong iOS development with modern frameworks","Swift,SwiftUI,iOS SDK","Core Data,Combine Framework",0.18,Mobile Developer,0.86,iOS Architect,0.82,"iOS Development,Modern Swift,UI Implementation","Advanced iOS Architecture,Performance Optimization,Testing","Master iOS architecture patterns (MVVM, Clean Architecture),Learn Combine framework for reactive programming,Gain experience with Core Data and local storage"
user_010,"Kotlin,Android,Jetpack Compose,Room,Retrofit,MVVM",Master in Mobile Computing,5,Android Developer,Android Architect,0.91,"Strong Android expertise with modern architecture","Android,Kotlin,Jetpack Compose,Architecture Patterns","Kotlin Multiplatform,CI/CD",0.2,Senior Android Developer,0.88,Mobile Tech Lead,0.84,"Modern Android Development,Architecture Patterns,Jetpack Libraries","Cross-platform Development,Team Leadership,Performance Tuning","Learn Kotlin Multiplatform for cross-platform development,Master Android performance optimization techniques,Develop leadership and mentoring skills"
user_011,"Go,Microservices,Docker,Kubernetes,gRPC,MongoDB",Bachelor in Computer Engineering,4,Backend Developer,Microservices Architect,0.9,"Strong microservices and containerization experience","Go,Microservices,Kubernetes,Docker","Service Mesh,Event-driven Architecture",0.22,Senior Backend Developer,0.87,DevOps Engineer,0.83,"Microservices,Container Orchestration,Distributed Systems","Service Mesh Technologies,Event Sourcing,Observability","Learn service mesh technologies (Istio, Linkerd),Master event-driven architecture patterns,Implement comprehensive observability practices"
user_012,"Photoshop,Illustrator,InDesign,Branding,Typography,Print Design",Bachelor in Graphic Design,6,Graphic Designer,Senior Graphic Designer,0.88,"Strong visual design and branding experience","Graphic Design,Branding,Typography","Motion Graphics,UI Design",0.28,Art Director,0.85,Brand Designer,0.82,"Visual Communication,Branding,Print Design","Digital Design,Animation,Web Design","Learn motion graphics with After Effects,Expand into UI/UX design principles,Master digital design tools and web design basics"
user_013,"Scala,Spark,Hadoop,Kafka,AWS,SQL",Master in Data Engineering,7,Data Engineer,Big Data Architect,0.93,"Extensive big data and distributed systems expertise","Scala,Spark,Distributed Systems,AWS","Streaming Architecture,Data Governance",0.18,Senior Data Engineer,0.9,Platform Engineer,0.86,"Big Data Processing,Distributed Systems,ETL Pipelines","Real-time Processing,Data Governance,Cloud Architecture","Master real-time streaming architectures,Learn data governance and compliance frameworks,Gain experience with multi-cloud data platforms"
user_014,"HTML,CSS,JavaScript,WordPress,SEO,Google Analytics",Associate in Web Design,2,Web Designer,Frontend Developer,0.86,"Strong web fundamentals with CMS experience","HTML,CSS,JavaScript","React,Version Control",0.35,Digital Marketing Specialist,0.81,WordPress Developer,0.79,"Web Design,CMS,Basic JavaScript","Modern Frameworks,Git,Advanced JavaScript","Learn React or Vue.js framework,Master Git version control and collaboration,Study advanced JavaScript and ES6+ features"
user_015,"R,Statistics,SPSS,SAS,Data Mining,Regression Analysis",PhD in Statistics,8,Statistician,Senior Data Scientist,0.92,"Strong statistical foundation with research experience","Statistics,R,Data Mining,Machine Learning","Python,Production ML",0.2,Statistical Consultant,0.88,Research Scientist,0.85,"Statistical Modeling,Experimental Design,Research Methodology","Programming,Software Engineering,Cloud Platforms","Learn Python for data science and ML engineering,Gain experience with production ML systems,Study cloud platforms for scalable analytics"
user_016,"Vue.js,Nuxt.js,JavaScript,Tailwind CSS,Firebase,Git",Bachelor in Web Development,3,Frontend Developer,Senior Frontend Developer,0.91,"Strong Vue.js expertise with modern tooling","Vue.js,JavaScript,CSS Frameworks","Testing,Performance Optimization",0.2,Full Stack Developer,0.86,Frontend Architect,0.83,"Vue Ecosystem,Modern JavaScript,Responsive Design","Testing Strategies,Backend Integration,Architecture","Master frontend testing (Jest, Cypress, Testing Library),Learn backend technologies (Node.js, Express),Study frontend architecture patterns and best practices"
user_017,"Selenium,Cypress,Jest,JUnit,Test Automation,CI/CD",Bachelor in Computer Science,4,QA Engineer,Test Automation Engineer,0.93,"Strong automation and testing framework expertise","Test Automation,Selenium,CI/CD","Performance Testing,Security Testing",0.2,Senior QA Engineer,0.89,QA Lead,0.85,"Test Automation,Framework Development,Quality Assurance","Performance Testing,Security Testing,Leadership","Learn performance testing tools (JMeter, LoadRunner),Study security testing methodologies and tools,Develop leadership and test strategy skills"
user_018,"Content Writing,Copywriting,SEO,WordPress,Social Media,Google Ads",Bachelor in Marketing,5,Content Writer,Content Marketing Manager,0.89,"Strong content creation with digital marketing skills","Content Strategy,SEO,Copywriting","Marketing Analytics,Email Marketing",0.25,SEO Specialist,0.85,Digital Marketing Manager,0.82,"Content Creation,SEO Optimization,Social Media","Data Analysis,Technical SEO,Marketing Automation","Learn marketing analytics tools (Google Analytics, SEMrush),Master email marketing platforms and automation,Study technical SEO and website optimization"
user_019,"Rust,Systems Programming,C++,Linux,Embedded Systems,Git",Master in Computer Engineering,6,Systems Engineer,Senior Systems Engineer,0.91,"Strong low-level programming and systems expertise","Rust,C++,Systems Programming,Linux","Distributed Systems,Performance Optimization",0.2,Embedded Systems Engineer,0.87,Software Architect,0.84,"Low-level Programming,Systems Design,Performance","Distributed Systems,Cloud Native,Modern Architectures","Learn distributed systems design patterns,Study cloud-native technologies and Kubernetes,Master performance profiling and optimization techniques"
user_020,"Angular,TypeScript,RxJS,NgRx,Jest,Material Design",Bachelor in Computer Science,3,Frontend Developer,Senior Angular Developer,0.92,"Strong Angular and TypeScript expertise","Angular,TypeScript,RxJS,State Management","Micro Frontends,Performance",0.18,Frontend Architect,0.88,Full Stack Developer,0.84,"Angular Framework,TypeScript,State Management","Micro Frontend Architecture,Backend Skills,DevOps","Learn micro frontend architectures and module federation,Expand backend skills with Node.js and NestJS,Study DevOps practices for frontend deployment"
user_021,"SQL Server,Oracle,Database Design,ETL,Data Modeling,Power BI",Bachelor in Information Systems,8,Database Administrator,Database Architect,0.9,"Extensive database management and design experience","Database Design,SQL,Data Modeling","NoSQL,Cloud Databases",0.22,Senior DBA,0.88,Data Architect,0.85,"Database Administration,Performance Tuning,Data Modeling","NoSQL Technologies,Cloud Migration,Modern Data Stack","Learn NoSQL databases (MongoDB, Cassandra, Redis),Master cloud database services (AWS RDS, Azure SQL),Study modern data architecture patterns"
user_022,"Unreal Engine,C++,3D Modeling,Blender,Game Design,Physics",Bachelor in Game Development,4,Game Developer,Senior Game Developer,0.91,"Strong game development with Unreal Engine expertise","Unreal Engine,C++,Game Design","Multiplayer Systems,VR Development",0.2,Technical Game Designer,0.87,Game Engine Programmer,0.84,"Game Development,3D Graphics,Physics Simulation","Multiplayer Architecture,VR/AR,Optimization","Learn multiplayer game architecture and networking,Explore VR/AR development with Unreal Engine,Master game optimization and performance profiling"
user_023,"Project Management,Agile,Scrum,Jira,Stakeholder Management,Risk Management",Master in Project Management,9,Project Manager,Senior Project Manager,0.89,"Extensive project management with Agile expertise","Agile Methodologies,Stakeholder Management,Project Planning","Product Management,Portfolio Management",0.23,Program Manager,0.86,Agile Coach,0.83,"Agile/Scrum,Team Leadership,Risk Management","Product Strategy,Technical Knowledge,Portfolio Management","Transition into product management with market analysis,Learn portfolio management for multi-project oversight,Gain technical certifications to improve team collaboration"
user_024,"Penetration Testing,Ethical Hacking,Network Security,Wireshark,Metasploit,Python",Bachelor in Cybersecurity,3,Security Analyst,Penetration Tester,0.93,"Strong security assessment and testing skills","Penetration Testing,Network Security,Python","Cloud Security,Threat Intelligence",0.18,Security Engineer,0.89,Ethical Hacker,0.86,"Security Testing,Vulnerability Assessment,Network Analysis","Cloud Security,Application Security,Automation","Learn cloud security for AWS, Azure, and GCP,Master application security testing (OWASP),Develop automation scripts for security testing"
user_025,"Blockchain,Solidity,Web3.js,Ethereum,Smart Contracts,JavaScript",Master in Computer Science,4,Blockchain Developer,Senior Blockchain Developer,0.92,"Strong blockchain and smart contract expertise","Blockchain,Solidity,Smart Contracts","DeFi,Layer 2 Solutions",0.2,Web3 Developer,0.88,Blockchain Architect,0.85,"Smart Contract Development,Blockchain Protocols,Cryptography","DeFi Protocols,Scalability Solutions,Security Auditing","Learn DeFi protocols and decentralized exchanges,Master Layer 2 scaling solutions (Polygon, Optimism),Study smart contract security and auditing practices"
user_026,"SAP,ERP Implementation,Business Process,ABAP,Consulting,Project Management",Bachelor in Business Administration,7,SAP Consultant,Senior SAP Consultant,0.88,"Extensive SAP and ERP implementation experience","SAP,ERP Systems,Business Process","SAP S/4HANA,Cloud Integration",0.25,ERP Architect,0.85,IT Consultant,0.82,"ERP Implementation,Business Process,Client Management","Cloud ERP,Technical Skills,Digital Transformation","Learn SAP S/4HANA and cloud ERP solutions,Master cloud integration and migration strategies,Study digital transformation and change management"
user_027,"Flutter,Dart,Firebase,REST API,Git,Mobile UI Design",Bachelor in Computer Science,2,Mobile Developer,Senior Flutter Developer,0.91,"Strong cross-platform mobile development skills","Flutter,Dart,Mobile Development","State Management,Native Integration",0.2,Mobile Architect,0.87,Cross-platform Developer,0.84,"Cross-platform Development,UI Implementation,Firebase Integration","Advanced State Management,Native Code,Performance","Master advanced state management (Bloc, Riverpod),Learn native code integration for iOS and Android,Study mobile performance optimization techniques"
user_028,"Salesforce,CRM,Apex,Lightning,Integration,Business Analysis",Bachelor in Information Technology,5,Salesforce Developer,Salesforce Architect,0.9,"Strong Salesforce development and integration skills","Salesforce,Apex,Lightning,CRM","Complex Integrations,Architecture Design",0.22,Senior Salesforce Developer,0.88,CRM Consultant,0.84,"Salesforce Development,CRM Configuration,Business Process","Enterprise Architecture,Multiple System Integration,Solution Design","Learn complex integration patterns and middleware,Master Salesforce architecture and scalability,Gain Salesforce Architect certifications"
user_029,"Video Editing,Adobe Premiere,After Effects,Color Grading,Motion Graphics,Storytelling",Bachelor in Film Production,6,Video Editor,Senior Video Editor,0.89,"Strong video production and post-production skills","Video Editing,Motion Graphics,Color Grading","VFX,3D Animation",0.25,Motion Graphics Designer,0.86,Creative Director,0.82,"Video Production,Post-production,Storytelling","Visual Effects,3D Skills,Creative Leadership","Learn VFX techniques with After Effects and Nuke,Expand into 3D animation with Cinema 4D or Blender,Develop creative direction and team leadership skills"
user_030,"Terraform,AWS,Infrastructure as Code,CloudFormation,Ansible,Python",Bachelor in Computer Engineering,4,Cloud Engineer,DevOps Architect,0.92,"Strong IaC and cloud infrastructure expertise","Terraform,AWS,Infrastructure as Code","Multi-cloud,GitOps",0.18,Site Reliability Engineer,0.89,Cloud Architect,0.86,"Infrastructure as Code,Cloud Architecture,Automation","Multi-cloud Strategy,Cost Optimization,Security","Learn multi-cloud strategies for AWS, Azure, and GCP,Master GitOps practices with ArgoCD and Flux,Study FinOps for cloud cost optimization"
user_031,"Product Management,User Stories,Roadmapping,Analytics,Agile,Wireframing",Master in Business Administration,6,Product Manager,Senior Product Manager,0.91,"Strong product management with data-driven approach","Product Strategy,User Research,Analytics","Technical Skills,Growth Hacking",0.2,Product Lead,0.88,Chief Product Officer,0.84,"Product Strategy,Stakeholder Management,Data Analysis","Technical Knowledge,Growth Strategies,Executive Leadership","Learn SQL and data analysis for product insights,Master growth hacking and experimentation frameworks,Develop executive leadership and strategic thinking"
user_032,"Network Engineering,Cisco,Routing,Switching,CCNP,Firewall",Bachelor in Network Engineering,7,Network Engineer,Senior Network Engineer,0.89,"Extensive networking and infrastructure expertise","Networking,Cisco,Security","SD-WAN,Cloud Networking",0.23,Network Architect,0.86,Infrastructure Engineer,0.83,"Network Design,Cisco Technologies,Security","Software Defined Networking,Cloud Infrastructure,Automation","Learn SD-WAN and software-defined networking,Master cloud networking in AWS and Azure,Study network automation with Python and Ansible"
user_033,"Unity,C#,2D/3D Game Development,Physics,UI,Animation",Bachelor in Game Design,3,Game Developer,Senior Unity Developer,0.92,"Strong Unity game development expertise","Unity,C#,Game Design","Shader Programming,Optimization",0.18,Game Designer,0.88,Technical Artist,0.85,"Unity Development,Game Mechanics,C# Programming","Advanced Graphics,Performance Optimization,Multiplayer","Learn shader programming and graphics optimization,Master multiplayer networking in Unity,Study advanced optimization techniques for mobile games"
user_034,"Technical Writing,Documentation,Markdown,Git,API Documentation,UX Writing",Bachelor in English,4,Technical Writer,Senior Technical Writer,0.9,"Strong technical communication and documentation skills","Technical Writing,Documentation,Information Architecture","Developer Tools,Programming",0.25,Documentation Manager,0.86,Developer Advocate,0.82,"Technical Communication,Documentation Tools,Information Design","Programming Knowledge,Developer Tools,Public Speaking","Learn programming basics (Python, JavaScript),Master developer tools and API documentation platforms,Develop public speaking for conference presentations"
user_035,"Linux,Bash,System Administration,Monitoring,Security,Automation",Bachelor in Computer Science,8,System Administrator,DevOps Engineer,0.91,"Strong system administration with automation skills","Linux,System Administration,Automation","Kubernetes,CI/CD",0.2,Site Reliability Engineer,0.88,Infrastructure Engineer,0.85,"Linux Administration,Scripting,System Security","Container Orchestration,Cloud Platforms,Modern DevOps","Learn Kubernetes and container orchestration,Master CI/CD pipelines with Jenkins and GitLab,Study cloud platforms and infrastructure as code"
user_036,"React Native,JavaScript,Redux,GraphQL,Mobile Development,Git",Bachelor in Computer Science,3,Mobile Developer,Senior React Native Developer,0.91,"Strong cross-platform mobile development with React Native","React Native,JavaScript,Mobile Development","Performance Optimization,Native Modules",0.2,Mobile Architect,0.87,Full Stack Developer,0.84,"Cross-platform Mobile,JavaScript,State Management","Native Performance,Complex Animations,Backend Integration","Learn native module development for iOS and Android,Master mobile performance optimization techniques,Study backend technologies for full-stack development"
user_037,"Hadoop,Hive,Pig,Sqoop,HDFS,MapReduce",Master in Big Data,6,Big Data Engineer,Big Data Architect,0.89,"Strong Hadoop ecosystem and big data processing","Hadoop,Distributed Systems,Data Processing","Cloud Data Platforms,Real-time Processing",0.23,Senior Data Engineer,0.86,Data Platform Engineer,0.83,"Big Data Technologies,ETL Pipelines,Distributed Processing","Cloud Migration,Streaming Data,Modern Data Stack","Transition to cloud data platforms (Databricks, Snowflake),Learn real-time processing with Kafka and Flink,Study modern data stack and data mesh architectures"
user_038,"Digital Marketing,Google Ads,Facebook Ads,SEO,Analytics,Conversion Optimization",Bachelor in Marketing,5,Digital Marketing Specialist,Digital Marketing Manager,0.9,"Strong digital marketing across multiple channels","Digital Marketing,Analytics,Campaign Management","Marketing Automation,Growth Hacking",0.22,Growth Marketing Manager,0.87,Marketing Director,0.84,"Multi-channel Marketing,Analytics,Campaign Optimization","Marketing Automation,Technical SEO,Team Leadership","Learn marketing automation platforms (HubSpot, Marketo),Master growth hacking and experimentation frameworks,Develop team leadership and strategic planning skills"
user_039,"Puppet,Chef,Configuration Management,Linux,Automation,Ruby",Bachelor in Computer Engineering,5,Configuration Management Engineer,DevOps Engineer,0.91,"Strong configuration management and automation expertise","Configuration Management,Linux,Automation","Containerization,Cloud Platforms",0.2,Site Reliability Engineer,0.88,Infrastructure Automation Engineer,0.85,"Configuration Management,Automation,Infrastructure","Modern DevOps Tools,Cloud Native,Orchestration","Transition to modern tools like Terraform and Ansible,Learn containerization with Docker and Kubernetes,Master cloud platforms and cloud-native technologies"
user_040,"TypeScript,NestJS,GraphQL,PostgreSQL,Microservices,Docker",Master in Software Engineering,4,Backend Developer,Senior Backend Developer,0.92,"Strong modern backend with TypeScript and microservices","TypeScript,NestJS,Microservices,GraphQL","Event-driven Architecture,Distributed Tracing",0.18,Backend Architect,0.89,Full Stack Developer,0.86,"Modern Backend,API Design,Microservices","Event-driven Systems,Observability,Cloud Architecture","Learn event-driven architecture patterns,Master distributed tracing and observability tools,Study cloud architecture and serverless technologies"